Fluid_lvl_tank102;Pressure_tank103;Pump_speed;Flowmeter;Tank102_set;Pressure_set;Flow_set;Fluid_lvl_tank101_IO_link;Fluid_lvl_tank102_IO_link;Fluid_lvl_MAX_tank101;Fluid_lvl_MIN_tank101;V101;V102;V103;V104;V106;V107;V108;V109;V112;Cycle_nuber;EStop;Work;State
81.61058;199.97682;80.45793;0.0;0.0;200.0;0.0;105;85;0;0;0;0;0;0;1;0;1;0;0;1;0;1;7
81.61058;198.95653;80.467514;0.0;0.0;200.0;0.0;105;85;0;0;0;0;0;0;1;0;1;0;0;1;0;1;7
81.61058;193.85509;80.07012;0.0;0.0;200.0;0.0;105;85;0;0;0;0;0;0;1;0;1;0;0;1;0;1;7
81.61058;195.13045;80.29055;0.0;0.0;200.0;0.0;105;85;0;0;0;0;0;0;1;0;1;0;0;1;0;1;7
81.61058;195.13045;79.953224;0.0;0.0;200.0;0.0;105;85;0;0;0;0;0;0;1;0;1;0;0;1;0;1;7
81.61058;201.76233;80.35982;0.0;0.0;200.0;0.0;105;85;0;0;0;0;0;0;1;0;1;0;0;1;0;1;7
81.61058;194.36522;80.00121;0.0;0.0;200.0;0.0;105;85;0;0;0;0;0;0;1;0;1;0;0;1;0;1;7
81.61058;194.87537;80.02768;0.0;0.0;200.0;0.0;105;85;0;0;0;0;0;0;1;0;1;0;0;1;0;1;7
81.61058;197.17102;80.066605;0.0;0.0;200.0;0.0;105;85;0;0;0;0;0;0;1;0;1;0;0;1;0;1;7
81.61058;200.23189;80.20056;0.0;0.0;200.0;0.0;105;85;0;0;0;0;0;0;1;0;1;0;0;1;0;1;7
81.61058;202.27248;80.00068;0.0;0.0;200.0;0.0;105;85;0;0;0;0;0;0;1;0;1;0;0;1;0;1;7
81.61058;198.95653;80.01493;0.0;0.0;200.0;0.0;105;85;0;0;0;0;0;0;1;0;1;0;0;1;0;1;7
81.61058;199.97682;80.17202;0.0;0.0;200.0;0.0;105;85;0;0;0;0;0;0;1;0;1;0;0;1;0;1;7
81.61058;196.91595;80.55845;0.0;0.0;200.0;0.0;105;85;0;0;0;0;0;0;1;0;1;0;0;1;0;1;7
81.61058;199.46667;80.55845;0.0;0.0;200.0;0.0;105;85;0;0;0;0;0;0;1;0;1;0;0;1;0;1;7
81.61058;196.66087;80.56593;0.0;0.0;200.0;0.0;105;85;0;0;0;0;0;0;1;0;1;0;0;1;0;1;7
